Label,Samples,Detected,Missed,Detection_Rate
BENIGN,314264,277,313987,0.0008814245347860398
Bot,282,264,18,0.9361702127659575
DDoS,19125,19121,4,0.9997908496732026
DoS GoldenEye,1591,1590,1,0.9993714644877436
DoS Hulk,26077,26075,2,0.99992330406105
DoS Slowhttptest,753,752,1,0.99867197875166
DoS slowloris,777,774,3,0.9961389961389961
FTP-Patator,908,907,1,0.998898678414097
Infiltration,4,4,0,1.0
PortScan,13570,13569,1,0.9999263080324244
SSH-Patator,476,476,0,1.0
Web Attack � Brute Force,211,208,3,0.985781990521327
Web Attack � Sql Injection,2,2,0,1.0
Web Attack � XSS,101,101,0,1.0
