,precision,recall,f1-score,support
BENIGN,0.9997587056850773,0.999334432435733,0.9995465240380431,327540.0
Bot,0.8637992831541219,0.8253424657534246,0.8441330998248686,292.0
DDoS,0.9999479166666667,0.9997916992136645,0.999869801838398,19203.0
DoS GoldenEye,0.9980443285528031,0.9922229423201555,0.9951251218719532,1543.0
DoS Hulk,0.9983954154727793,0.9994263423588802,0.9989106129235709,26148.0
DoS Slowhttptest,0.9886075949367089,0.9961734693877551,0.9923761118170267,784.0
DoS slowloris,0.9975186104218362,0.995049504950495,0.9962825278810409,808.0
FTP-Patator,1.0,0.9977528089887641,0.9988751406074241,890.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.8333333333333334,0.9090909090909091,6.0
PortScan,0.9917407878017789,0.9995343151522207,0.9956223001768475,17179.0
SSH-Patator,1.0,0.9981203007518797,0.9990592662276576,532.0
Web Attack � Brute Force,0.7418032786885246,0.8227272727272728,0.7801724137931034,220.0
Web Attack � Sql Injection,1.0,1.0,1.0,3.0
Web Attack � XSS,0.47368421052631576,0.3673469387755102,0.41379310344827586,98.0
accuracy,0.9989373760272032,0.9989373760272032,0.9989373760272032,0.9989373760272032
macro avg,0.9368866754604407,0.9217437217432727,0.9281904622359413,395248.0
weighted avg,0.9989222401542868,0.9989373760272032,0.9989257508637043,395248.0
