,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack � Brute Force,Web Attack � Sql Injection,Web Attack � XSS
BENIGN,327322,37,1,1,31,5,0,0,0,0,142,0,0,0,1
Bot,51,241,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,4,0,19199,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,3,0,0,1531,6,3,0,0,0,0,0,0,0,0,0
DoS Hulk,12,0,0,2,26133,0,0,0,0,0,1,0,0,0,0
DoS Slowhttptest,0,0,0,0,1,781,2,0,0,0,0,0,0,0,0
DoS slowloris,3,0,0,0,0,1,804,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,888,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,1,1,0,0,4,0,0,0,0,0,17171,0,1,0,1
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,531,0,0,0
Web Attack � Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,181,0,37
Web Attack � Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Web Attack � XSS,0,0,0,0,0,0,0,0,0,0,0,0,62,0,36
