Label,Precision,Recall,F1,Support
BENIGN,0.9997587056850773,0.999334432435733,0.9995465240380431,327540
Bot,0.8637992831541219,0.8253424657534246,0.8441330998248686,292
DDoS,0.9999479166666667,0.9997916992136645,0.999869801838398,19203
DoS GoldenEye,0.9980443285528031,0.9922229423201555,0.9951251218719532,1543
DoS Hulk,0.9983954154727793,0.9994263423588802,0.9989106129235709,26148
DoS Slowhttptest,0.9886075949367089,0.9961734693877551,0.9923761118170267,784
DoS slowloris,0.9975186104218362,0.995049504950495,0.9962825278810409,808
FTP-Patator,1.0,0.9977528089887641,0.9988751406074241,890
Heartbleed,1.0,1.0,1.0,2
Infiltration,1.0,0.8333333333333334,0.9090909090909091,6
PortScan,0.9917407878017789,0.9995343151522207,0.9956223001768475,17179
SSH-Patator,1.0,0.9981203007518797,0.9990592662276576,532
Web Attack � Brute Force,0.7418032786885246,0.8227272727272728,0.7801724137931034,220
Web Attack � Sql Injection,1.0,1.0,1.0,3
Web Attack � XSS,0.47368421052631576,0.3673469387755102,0.41379310344827586,98
