,precision,recall,f1-score,support
BENIGN,0.9999602701628924,0.9989527996580571,0.9994562810232913,327540.0
Bot,0.6784037558685446,0.9897260273972602,0.8050139275766016,292.0
DDoS,0.9997917209060141,0.9998958496068323,0.999843782545303,19203.0
DoS GoldenEye,0.9954633830200907,0.9954633830200907,0.9954633830200907,1543.0
DoS Hulk,0.9977480056490706,0.9996940492580695,0.9987200794696927,26148.0
DoS Slowhttptest,0.9873737373737373,0.9974489795918368,0.9923857868020305,784.0
DoS slowloris,0.9975186104218362,0.995049504950495,0.9962825278810409,808.0
FTP-Patator,1.0,0.998876404494382,0.9994378864530635,890.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.8333333333333334,0.9090909090909091,6.0
PortScan,0.9917407878017789,0.9995343151522207,0.9956223001768475,17179.0
SSH-Patator,0.9981203007518797,0.9981203007518797,0.9981203007518797,532.0
Web Attack � Brute Force,0.7372549019607844,0.8545454545454545,0.791578947368421,220.0
Web Attack � Sql Injection,1.0,0.3333333333333333,0.5,3.0
Web Attack � XSS,0.4782608695652174,0.336734693877551,0.39520958083832336,98.0
accuracy,0.998788102659596,0.998788102659596,0.998788102659596,0.998788102659596
macro avg,0.9241090895654565,0.8887138952647199,0.8917483795331662,395248.0
weighted avg,0.9988854408845962,0.998788102659596,0.9988074868266807,395248.0
