,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack � Brute Force,Web Attack � Sql Injection,Web Attack � XSS
BENIGN,327197,137,4,1,49,6,0,0,0,0,143,1,1,0,1
Bot,3,289,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,2,0,19201,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,1536,4,3,0,0,0,0,0,0,0,0,0
DoS Hulk,2,0,0,6,26140,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,782,2,0,0,0,0,0,0,0,0
DoS slowloris,3,0,0,0,0,1,804,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,889,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,0,0,0,0,6,0,0,0,0,0,17171,0,0,0,2
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,531,0,0,0
Web Attack � Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,188,0,32
Web Attack � Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Web Attack � XSS,0,0,0,0,0,0,0,0,0,0,0,0,65,0,33
