Label,Precision,Recall,F1,Support
BENIGN,0.9999602701628924,0.9989527996580571,0.9994562810232913,327540
Bot,0.6784037558685446,0.9897260273972602,0.8050139275766016,292
DDoS,0.9997917209060141,0.9998958496068323,0.999843782545303,19203
DoS GoldenEye,0.9954633830200907,0.9954633830200907,0.9954633830200907,1543
DoS Hulk,0.9977480056490706,0.9996940492580695,0.9987200794696927,26148
DoS Slowhttptest,0.9873737373737373,0.9974489795918368,0.9923857868020305,784
DoS slowloris,0.9975186104218362,0.995049504950495,0.9962825278810409,808
FTP-Patator,1.0,0.998876404494382,0.9994378864530635,890
Heartbleed,1.0,1.0,1.0,2
Infiltration,1.0,0.8333333333333334,0.9090909090909091,6
PortScan,0.9917407878017789,0.9995343151522207,0.9956223001768475,17179
SSH-Patator,0.9981203007518797,0.9981203007518797,0.9981203007518797,532
Web Attack � Brute Force,0.7372549019607844,0.8545454545454545,0.791578947368421,220
Web Attack � Sql Injection,1.0,0.3333333333333333,0.5,3
Web Attack � XSS,0.4782608695652174,0.336734693877551,0.39520958083832336,98
